src,dst,cost
REQ-001,REQ-002,0.095
REQ-001,REQ-003,0.11
REQ-001,REQ-004,0.05
REQ-001,REQ-005,0.05
REQ-001,REQ-007,0.05
REQ-001,REQ-008,0.05
REQ-001,REQ-009,0.05
REQ-001,REQ-010,0.05
REQ-001,REQ-011,0.05
REQ-001,REQ-012,0.05
REQ-001,REQ-013,0.05
REQ-001,REQ-017,0.05
REQ-001,REQ-019,0.05
REQ-001,REQ-020,0.05
REQ-001,REQ-021,0.05
REQ-001,REQ-027,0.05
REQ-001,REQ-029,0.05
REQ-001,REQ-030,0.05
REQ-001,REQ-031,0.05
REQ-001,REQ-032,0.05
REQ-001,REQ-033,0.05
REQ-001,REQ-034,0.05
REQ-001,REQ-036,0.05
REQ-001,REQ-037,0.14
REQ-001,REQ-014,0.05
REQ-002,REQ-001,0.095
REQ-002,REQ-003,0.065
REQ-002,REQ-004,0.095
REQ-002,REQ-005,0.095
REQ-002,REQ-007,0.095
REQ-002,REQ-008,0.095
REQ-002,REQ-009,0.095
REQ-002,REQ-010,0.095
REQ-002,REQ-011,0.095
REQ-002,REQ-012,0.095
REQ-002,REQ-013,0.095
REQ-002,REQ-017,0.095
REQ-002,REQ-019,0.095
REQ-002,REQ-020,0.095
REQ-002,REQ-021,0.095
REQ-002,REQ-027,0.095
REQ-002,REQ-029,0.095
REQ-002,REQ-030,0.095
REQ-002,REQ-031,0.095
REQ-002,REQ-032,0.095
REQ-002,REQ-033,0.095
REQ-002,REQ-034,0.095
REQ-002,REQ-036,0.095
REQ-002,REQ-037,0.095
REQ-002,REQ-038,0.11
REQ-003,REQ-033,0.11
REQ-003,REQ-001,0.11
REQ-003,REQ-002,0.065
REQ-003,REQ-009,0.11
REQ-003,REQ-023,0.11
REQ-003,REQ-017,0.11
REQ-003,REQ-018,0.11
REQ-003,REQ-022,0.11
REQ-003,REQ-037,0.08
REQ-003,REQ-038,0.095
REQ-004,REQ-007,0.05
REQ-004,REQ-008,0.05
REQ-004,REQ-030,0.05
REQ-004,REQ-031,0.05
REQ-004,REQ-005,0.05
REQ-004,REQ-009,0.05
REQ-004,REQ-010,0.05
REQ-004,REQ-011,0.05
REQ-004,REQ-012,0.05
REQ-004,REQ-015,0.1
REQ-004,REQ-023,0.05
REQ-004,REQ-024,0.05
REQ-004,REQ-025,0.05
REQ-004,REQ-026,0.05
REQ-004,REQ-036,0.05
REQ-004,REQ-001,0.05
REQ-004,REQ-002,0.095
REQ-004,REQ-013,0.05
REQ-004,REQ-017,0.05
REQ-004,REQ-019,0.05
REQ-004,REQ-020,0.05
REQ-004,REQ-021,0.05
REQ-004,REQ-027,0.05
REQ-004,REQ-029,0.05
REQ-004,REQ-032,0.05
REQ-004,REQ-033,0.05
REQ-004,REQ-034,0.05
REQ-004,REQ-037,0.14
REQ-005,REQ-004,0.05
REQ-005,REQ-007,0.05
REQ-005,REQ-008,0.05
REQ-005,REQ-009,0.05
REQ-005,REQ-010,0.05
REQ-005,REQ-011,0.05
REQ-005,REQ-012,0.05
REQ-005,REQ-015,0.1
REQ-005,REQ-023,0.05
REQ-005,REQ-024,0.05
REQ-005,REQ-025,0.05
REQ-005,REQ-026,0.05
REQ-005,REQ-036,0.05
REQ-005,REQ-001,0.05
REQ-005,REQ-002,0.095
REQ-005,REQ-013,0.05
REQ-005,REQ-017,0.05
REQ-005,REQ-019,0.05
REQ-005,REQ-020,0.05
REQ-005,REQ-021,0.05
REQ-005,REQ-027,0.05
REQ-005,REQ-029,0.05
REQ-005,REQ-030,0.05
REQ-005,REQ-031,0.05
REQ-005,REQ-032,0.05
REQ-005,REQ-033,0.05
REQ-005,REQ-034,0.05
REQ-005,REQ-037,0.14
REQ-006,REQ-025,0.05
REQ-006,REQ-020,0.05
REQ-006,REQ-021,0.05
REQ-006,REQ-024,0.05
REQ-006,REQ-026,0.05
REQ-006,REQ-034,0.05
REQ-006,REQ-035,0.05
REQ-007,REQ-004,0.05
REQ-007,REQ-008,0.05
REQ-007,REQ-030,0.05
REQ-007,REQ-031,0.05
REQ-007,REQ-005,0.05
REQ-007,REQ-009,0.05
REQ-007,REQ-010,0.05
REQ-007,REQ-011,0.05
REQ-007,REQ-012,0.05
REQ-007,REQ-015,0.1
REQ-007,REQ-023,0.05
REQ-007,REQ-024,0.05
REQ-007,REQ-025,0.05
REQ-007,REQ-026,0.05
REQ-007,REQ-036,0.05
REQ-007,REQ-001,0.05
REQ-007,REQ-002,0.095
REQ-007,REQ-013,0.05
REQ-007,REQ-017,0.05
REQ-007,REQ-019,0.05
REQ-007,REQ-020,0.05
REQ-007,REQ-021,0.05
REQ-007,REQ-027,0.05
REQ-007,REQ-029,0.05
REQ-007,REQ-032,0.05
REQ-007,REQ-033,0.05
REQ-007,REQ-034,0.05
REQ-007,REQ-037,0.14
REQ-008,REQ-004,0.05
REQ-008,REQ-007,0.05
REQ-008,REQ-030,0.05
REQ-008,REQ-031,0.05
REQ-008,REQ-005,0.05
REQ-008,REQ-009,0.05
REQ-008,REQ-010,0.05
REQ-008,REQ-011,0.05
REQ-008,REQ-012,0.05
REQ-008,REQ-015,0.1
REQ-008,REQ-023,0.05
REQ-008,REQ-024,0.05
REQ-008,REQ-025,0.05
REQ-008,REQ-026,0.05
REQ-008,REQ-036,0.05
REQ-008,REQ-001,0.05
REQ-008,REQ-002,0.095
REQ-008,REQ-013,0.05
REQ-008,REQ-017,0.05
REQ-008,REQ-019,0.05
REQ-008,REQ-020,0.05
REQ-008,REQ-021,0.05
REQ-008,REQ-027,0.05
REQ-008,REQ-029,0.05
REQ-008,REQ-032,0.05
REQ-008,REQ-033,0.05
REQ-008,REQ-034,0.05
REQ-008,REQ-037,0.14
REQ-009,REQ-004,0.05
REQ-009,REQ-005,0.05
REQ-009,REQ-007,0.05
REQ-009,REQ-008,0.05
REQ-009,REQ-010,0.05
REQ-009,REQ-011,0.05
REQ-009,REQ-012,0.05
REQ-009,REQ-015,0.1
REQ-009,REQ-023,0.05
REQ-009,REQ-024,0.05
REQ-009,REQ-025,0.05
REQ-009,REQ-026,0.05
REQ-009,REQ-036,0.05
REQ-009,REQ-001,0.05
